id_str,text,created_at,"('user', 'id_str')"
737291403844280320,RT @LANACION: Lufthansa no volará más a Caracas por la crisis venezolana https://t.co/eDnGHMwIS5 https://t.co/hg45KbFXhk,Mon May 30 14:35:43 +0000 2016,704457830930235393
737291413105303553,"@VuelingClients Thank you, can you please confirm checked luggage @British_Airways is 23kg.",Mon May 30 14:35:45 +0000 2016,905708970
737291415219228672,"RT @FDGxme: Ouloulou c'est Air France
Ayouyouille c'est Ryanair https://t.co/EBkUcm6IYy",Mon May 30 14:35:46 +0000 2016,266791794
737291424606064640,@lufthansa what is your reimbursement policy. No more hotels in Amsterdam for me to stay so need to book my own hotel,Mon May 30 14:35:48 +0000 2016,286314268
737291427588120576,"@united Airlines, @Iberia and @British_Airways Airways halt flights to Nigeria via https://t.co/8KyDmdOKhR and https://t.co/34zAUXoh8A",Mon May 30 14:35:49 +0000 2016,105075624
737291445762199552,"@klm how do I change my frequent flyer card on ""my trip"" at https://t.co/LQOUgqOvSb before checking in?",Mon May 30 14:35:53 +0000 2016,49584487
737291449679663104,@airfrance merci. Je suis que mon prochain vol de ce soir pour la Reunion sera tout aussi top..,Mon May 30 14:35:54 +0000 2016,41656562
737291451902623744,Yay! M&amp;D landed and on their way home #nosebumps @EtihadAirways for early arrival #Manchester https://t.co/iJRERjxd7T,Mon May 30 14:35:55 +0000 2016,2639569070
737291455857840128,Mort annoncée d'@airfrance : les pilotes irresponsables du @snplafalpa ont décidé le sabordage de la Cie. @easyJet et @Ryanair pavoisent.,Mon May 30 14:35:55 +0000 2016,387728921
737291463399202816,@AmericanAir I told you guys that I would not make it to the airport in time. I am too far away. I will get a @JetBlue flight tomorrow.,Mon May 30 14:35:57 +0000 2016,83042766
737291479022870529,Lufthansa Says Venezuela Owes It More Than $100 Million https://t.co/LeIuMO16u6 | https://t.co/2cUA6NA95V https://t.co/6MFeSlYaUB,Mon May 30 14:36:01 +0000 2016,2281807022
737291482147753985,¡Más aislados! Lufthansa confirma que se va de Venezuela https://t.co/dB6rqNpPuZ https://t.co/wcf3xKAYsD,Mon May 30 14:36:02 +0000 2016,1334965027
